label,wrist_x,wrist_y,wrist_z,thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,pinky_x,pinky_y,pinky_z
B,0.795083046,0.958197117,3.53E-07,0.795198262,0.741643667,-0.058347147,0.747433245,0.508047283,-0.059714422,0.779393852,0.474059641,-0.055601381,0.813523233,0.502674341,-0.058649208,0.853822649,0.566463292,-0.060356192
B,0.646948516,1.000121951,4.20E-07,0.630327165,0.796950519,-0.06209879,0.577154219,0.536036611,-0.069092602,0.606032133,0.499074101,-0.066333212,0.643821061,0.529155493,-0.070814922,0.684423327,0.594150007,-0.075242572
B,0.674215257,0.964068353,3.98E-07,0.655415952,0.747636378,-0.058297623,0.598929465,0.490195215,-0.062214836,0.62915051,0.452491164,-0.059972353,0.666079164,0.479271621,-0.066258766,0.710461676,0.542800546,-0.072521187
B,0.607102633,0.905277729,5.59E-07,0.566632152,0.648052096,-0.076398514,0.481183559,0.342339963,-0.082489729,0.517633021,0.291341573,-0.07896395,0.561096191,0.324555844,-0.084684566,0.612170517,0.393510014,-0.091432683
C,0.688743949,0.725404263,-2.21E-07,0.438859582,0.654377699,-0.006892453,0.424184948,0.441611826,-0.006834021,0.411331236,0.445605457,-0.033268336,0.414295554,0.445553362,-0.048669368,0.436902046,0.463567168,-0.069850765
C,0.821344912,0.661010623,-6.85E-08,0.571975946,0.575470328,-0.022490371,0.579273582,0.367330074,-0.01635387,0.579145312,0.36535424,-0.046996243,0.592918336,0.367047846,-0.066666566,0.62056005,0.380592108,-0.092208706
C,0.82445693,0.601246417,-1.73E-07,0.575279236,0.510770559,0.000515554,0.582110763,0.299676567,0.013809541,0.574782491,0.293524086,-0.020687327,0.58188957,0.296720505,-0.046513561,0.603962839,0.306357563,-0.076168031
C,0.806048632,0.749994636,-1.51E-07,0.566919148,0.653448284,-0.021251546,0.567566752,0.4561975,-0.031814449,0.567199826,0.455259323,-0.052421611,0.57726115,0.461559832,-0.062020861,0.599988699,0.48453781,-0.080853395
C,0.677905023,0.788048685,-1.63E-07,0.43882522,0.690064371,-0.025773548,0.438446701,0.486599743,-0.0238338,0.427726418,0.489014864,-0.041223478,0.431142032,0.496621192,-0.049943447,0.449193805,0.517398775,-0.06409049
C,0.744278312,0.756346345,4.73E-08,0.505802572,0.676320076,-0.039607547,0.507049143,0.454731703,-0.030557174,0.513212562,0.451762825,-0.058336973,0.5327636,0.45479694,-0.072720274,0.570992589,0.460983545,-0.094103545
C,0.799312115,0.594677091,1.97E-07,0.54983896,0.516880155,-0.039886069,0.561181009,0.279209435,-0.013979015,0.572421014,0.261013001,-0.037561785,0.60048002,0.253348768,-0.047200438,0.638385355,0.255427778,-0.062153339
C,0.804717898,0.785773396,1.25E-07,0.596262217,0.688268363,-0.073304445,0.62458849,0.475748241,-0.067410827,0.633144498,0.475174665,-0.073849581,0.658680856,0.474998057,-0.071042545,0.696837306,0.489046633,-0.084009498
C,0.664423466,0.814281881,4.07E-08,0.426215261,0.730332077,-0.039035097,0.434346914,0.501938283,-0.025068918,0.436910003,0.494808882,-0.048660878,0.448844194,0.496351779,-0.063389204,0.484820455,0.508588314,-0.087087266
C,0.820511818,0.646677792,1.13E-07,0.572900772,0.537163615,-0.03473049,0.600531459,0.312613368,-0.008073516,0.605284095,0.305099487,-0.045877054,0.624144733,0.306359649,-0.063792296,0.661369979,0.313290536,-0.088494927
D,0.791680276,0.783460379,-1.83E-07,0.586647093,0.614510655,-0.083199866,0.647497892,0.29339534,-0.077392302,0.608673036,0.613571107,-0.077975936,0.643099308,0.654595912,-0.06364423,0.651328444,0.660322964,-0.077977777
D,0.847480237,0.757392645,-1.21E-07,0.675620198,0.589939713,-0.094457142,0.726886392,0.272629589,-0.092352666,0.696135879,0.583763242,-0.088710219,0.733226359,0.625567555,-0.066235483,0.749411881,0.634631276,-0.075207464
D,0.863533497,0.86218363,-1.75E-07,0.710737109,0.689945936,-0.102209903,0.775272131,0.387861013,-0.109947063,0.740863621,0.70586729,-0.104683198,0.774562538,0.745327055,-0.078171901,0.79066968,0.761072397,-0.085818857
D,0.700448871,0.95862931,-1.93E-07,0.484307289,0.792719662,-0.071752816,0.54981035,0.475837141,-0.078251228,0.503688097,0.795681119,-0.073146708,0.532344878,0.837331057,-0.06234489,0.545466602,0.85375315,-0.081513323
D,0.697920501,0.894098759,-1.62E-07,0.448425889,0.68369168,-0.081382707,0.549777567,0.328710139,-0.082078092,0.471321851,0.685647786,-0.077601314,0.508585989,0.733521223,-0.068230376,0.513190866,0.740578055,-0.095734522
D,0.743881464,0.757102013,-1.82E-07,0.537625968,0.570192575,-0.093535416,0.607335925,0.20516625,-0.083395071,0.566631019,0.56457746,-0.077931844,0.60791558,0.599902511,-0.056966335,0.619773686,0.607707322,-0.074453637
D,0.868897855,0.736868918,-8.35E-08,0.68617928,0.504434288,-0.099564388,0.775704622,0.176088125,-0.08679942,0.710048497,0.500722229,-0.081141695,0.748625636,0.548668742,-0.059879437,0.762102783,0.553233624,-0.07893686
D,0.682813346,0.848317564,-1.56E-07,0.446141958,0.632259905,-0.076746449,0.539878666,0.281894147,-0.071688615,0.464012712,0.623168886,-0.069207251,0.50089848,0.670334458,-0.060616922,0.496862352,0.684203982,-0.091729946
D,0.833083391,0.906824827,-1.70E-07,0.68449831,0.714111328,-0.095608711,0.76604706,0.399508148,-0.08875373,0.713547707,0.726959467,-0.084985048,0.744950414,0.764562309,-0.060689516,0.760045946,0.784914494,-0.067334071
D,0.905292273,0.669099748,-1.68E-08,0.723127604,0.451022983,-0.11587657,0.805817842,0.138930053,-0.094487555,0.755410075,0.449619681,-0.094317466,0.788640499,0.487219214,-0.06966418,0.807587385,0.486816525,-0.076800764
E,0.874312639,0.624752522,-2.23E-07,0.814513564,0.451941431,-0.08006224,0.747040093,0.362582535,-0.088801987,0.796032965,0.365362644,-0.093702629,0.838244081,0.367519706,-0.079290748,0.876595616,0.345782518,-0.076913126
E,0.84104979,0.82697165,-3.00E-07,0.802719474,0.654403031,-0.057807431,0.748380363,0.565901101,-0.0732878,0.794834197,0.576071322,-0.074588284,0.832744002,0.580470264,-0.064735942,0.867352784,0.563523531,-0.067919858
E,0.676362276,0.866496563,-4.00E-07,0.602765262,0.700589657,-0.069299512,0.554524362,0.615163267,-0.068753794,0.595589697,0.604936242,-0.055870555,0.637113392,0.611547947,-0.048973735,0.672190666,0.589901209,-0.05251921
E,0.693546772,0.80439949,-4.08E-07,0.628505588,0.598155856,-0.088263214,0.561498761,0.495847106,-0.092213042,0.615538836,0.495111197,-0.081576437,0.667610347,0.498583674,-0.070845351,0.712284267,0.474388599,-0.072640099
E,0.782212198,0.745022476,-3.52E-07,0.74905771,0.553365052,-0.076811269,0.671994448,0.471400201,-0.085602656,0.726441979,0.47662124,-0.077493422,0.769819796,0.478298813,-0.067036785,0.807917476,0.458091587,-0.069440864
E,0.825798869,0.563498795,-2.43E-07,0.79190886,0.357283205,-0.06799566,0.709281921,0.291519821,-0.076221228,0.759120047,0.291211843,-0.074396916,0.804804981,0.298748851,-0.061397869,0.844280481,0.277424544,-0.062692873
E,0.64961642,0.571837962,-3.72E-07,0.592281282,0.368891984,-0.075776123,0.521397173,0.301975399,-0.085701428,0.570110619,0.29392916,-0.079189494,0.614053071,0.286486179,-0.072048448,0.656298578,0.258811951,-0.068906091
E,0.582433879,0.759068966,-4.02E-07,0.512163222,0.568535805,-0.070027404,0.459089637,0.487317353,-0.075208656,0.506171882,0.483873546,-0.06972973,0.54962635,0.483330965,-0.06347429,0.58949554,0.464729965,-0.06323202
E,0.764852643,0.716644347,-3.44E-07,0.733499765,0.53489387,-0.064809754,0.665727496,0.460586429,-0.076403573,0.715926409,0.460309684,-0.069292806,0.757090688,0.463394523,-0.059522599,0.794286668,0.4464086,-0.062740535
E,0.843992412,0.844866395,-3.44E-07,0.809335589,0.680447996,-0.061517596,0.765581727,0.598004937,-0.067528941,0.811294556,0.604579389,-0.061555143,0.847545624,0.605766535,-0.054402553,0.878765881,0.590147257,-0.057084855
F,0.789953947,0.681781888,2.56E-07,0.56911093,0.558384478,-0.091954432,0.618866801,0.528370976,-0.122675762,0.664302111,0.200446516,-0.091718085,0.739568591,0.200053215,-0.100253955,0.860601306,0.269419193,-0.093680777
F,0.773895681,0.822363853,2.05E-07,0.574311197,0.682354033,-0.090009719,0.623403251,0.654433191,-0.117619202,0.676522076,0.36825636,-0.096756391,0.745148063,0.373848647,-0.109411061,0.857016087,0.451502979,-0.101177305
F,0.622048378,0.905166626,1.60E-07,0.393220007,0.775095522,-0.08078035,0.448887765,0.746631324,-0.11911045,0.482521385,0.429561257,-0.088923037,0.547573268,0.436240703,-0.097282469,0.661342144,0.504533172,-0.089462444
F,0.597672224,0.768920898,1.64E-07,0.351488054,0.620388448,-0.088105448,0.409473896,0.591696382,-0.118018158,0.450544626,0.249652892,-0.077694364,0.528649211,0.246786326,-0.087091759,0.648655474,0.317404926,-0.087798797
F,0.815685868,0.717896938,1.77E-07,0.623481214,0.54707396,-0.088327684,0.657453477,0.530318737,-0.119812153,0.704496443,0.225663066,-0.088175766,0.782157958,0.230809093,-0.092921175,0.899483144,0.298125952,-0.081644379
F,0.81349349,0.875894189,1.29E-07,0.659161866,0.712814152,-0.10549514,0.685844421,0.6936391,-0.137515843,0.73696661,0.421616316,-0.11161413,0.80980432,0.43168804,-0.11518418,0.906629324,0.512728572,-0.099332109
F,0.677421331,0.85855341,8.66E-08,0.531873226,0.716332793,-0.077672936,0.559664667,0.704229712,-0.09472663,0.593370736,0.474275708,-0.075573459,0.646662295,0.47698313,-0.079457365,0.727121949,0.539833307,-0.072073035
F,0.730962038,0.532522321,1.00E-07,0.555332065,0.383137584,-0.067097113,0.582872331,0.376638442,-0.087734453,0.601046324,0.11988984,-0.061154895,0.655531704,0.116832748,-0.062346041,0.74344635,0.148920894,-0.05524873
F,0.601513684,0.534819841,1.00E-07,0.412510455,0.373081505,-0.066798739,0.455901265,0.37384367,-0.084471397,0.477125853,0.106127918,-0.053879336,0.532205164,0.098025143,-0.053785473,0.612116456,0.132863551,-0.047494374
F,0.571422517,0.890217125,7.35E-08,0.381027341,0.748423815,-0.066042371,0.415473759,0.734464228,-0.094816476,0.442200989,0.470694244,-0.066839747,0.503222108,0.471043706,-0.072649643,0.590566516,0.528319299,-0.067613594
C,0.790833533,0.712098598,3.13E-08,0.556142032,0.633107066,-0.058877923,0.59558636,0.42022872,-0.048964176,0.599392712,0.418573141,-0.061286386,0.61777842,0.415738493,-0.064628266,0.650825083,0.425480664,-0.079036094
C,0.675475359,0.779985905,1.47E-08,0.445680261,0.710444212,-0.041916072,0.455971241,0.477972865,-0.028392812,0.451991558,0.471610665,-0.041853771,0.464609683,0.479345381,-0.055847291,0.488930762,0.497997224,-0.077645443
C,0.691448987,0.653000772,-5.09E-08,0.468580097,0.575405955,-0.016436543,0.485026032,0.35677129,-0.002256989,0.4766258,0.354122341,-0.028049519,0.489633232,0.350495279,-0.046720795,0.517339468,0.356299639,-0.071012087
C,0.6920439,0.66759038,-2.98E-07,0.483162224,0.539931297,0.008678322,0.497451961,0.35702318,0.0030858,0.488170087,0.353015095,-0.022458551,0.487812161,0.351951241,-0.040052235,0.50287801,0.370389581,-0.060498409
C,0.704432309,0.817162991,-1.29E-07,0.498533428,0.70036453,-0.008312318,0.517631412,0.507502019,-0.01018434,0.513636351,0.498764157,-0.025922423,0.519773722,0.506834269,-0.041637789,0.538594723,0.533839703,-0.064058729
C,0.670727849,0.881967306,1.42E-08,0.452147573,0.793305039,-0.034034755,0.478129089,0.569244623,-0.027307661,0.470954686,0.569411993,-0.042066991,0.477967024,0.578868389,-0.053848047,0.504073381,0.601912439,-0.075413756
C,0.638420939,0.861492395,5.05E-08,0.394389749,0.787503719,-0.037761364,0.419683248,0.537595689,-0.02309433,0.413741708,0.534941673,-0.044854831,0.427408993,0.533134401,-0.058661845,0.461675853,0.538245499,-0.080339327
C,0.759251237,0.839367986,6.82E-08,0.537193,0.7413041,-0.051854119,0.579691947,0.510264397,-0.043960717,0.584261715,0.507624149,-0.059278242,0.602400601,0.511340737,-0.065854222,0.636103153,0.531796336,-0.081058607
C,0.772793233,0.713797212,2.86E-08,0.551790953,0.62211597,-0.037063405,0.581235111,0.416913629,-0.022951985,0.587715149,0.413702101,-0.044882711,0.602356374,0.411232829,-0.053344961,0.635873497,0.416265011,-0.06751518
C,0.715866983,0.714964867,4.59E-08,0.481256157,0.624725759,-0.015914118,0.511487842,0.409533203,0.009616701,0.514423847,0.395781159,-0.019204626,0.529264271,0.400262654,-0.040361278,0.556974292,0.407133818,-0.061651293
E,0.838717341,0.690360606,-2.32E-07,0.75899297,0.564802527,-0.075031489,0.700387299,0.446956635,-0.083372951,0.749869049,0.448284566,-0.082591526,0.791885376,0.444876194,-0.066266179,0.827457309,0.431863606,-0.068525732
E,0.82709825,0.703417778,-2.88E-07,0.767210245,0.579295278,-0.056944452,0.709680021,0.478776693,-0.069538012,0.757361054,0.48510772,-0.06698671,0.795123994,0.480344176,-0.060644269,0.823409498,0.467473686,-0.062731512
E,0.843398452,0.599032998,-1.16E-07,0.777378678,0.451043367,-0.057602409,0.710117936,0.35108754,-0.07205829,0.757984638,0.341762543,-0.072928868,0.798608422,0.342212379,-0.062369026,0.833280027,0.333592623,-0.064834617
E,0.810285985,0.768766761,-3.39E-07,0.752081513,0.62781179,-0.064092413,0.701840162,0.533876121,-0.076008312,0.748330891,0.531678796,-0.066372573,0.786173344,0.530977488,-0.056695662,0.819346845,0.516418278,-0.057575099
E,0.639951289,0.879543781,-2.68E-07,0.564364195,0.762559056,-0.076642357,0.519851387,0.651927233,-0.080989763,0.560527682,0.642770708,-0.073990993,0.600851119,0.645538628,-0.065590158,0.636952341,0.634446859,-0.063765727
E,0.617198944,0.730384648,-1.77E-07,0.53936094,0.610541463,-0.085599042,0.484537333,0.500662446,-0.091952212,0.528967559,0.487996459,-0.089021116,0.570476353,0.478022456,-0.068124637,0.607992768,0.462488681,-0.066749588
E,0.550533831,0.74010855,-2.80E-07,0.446556181,0.624788046,-0.089072771,0.395043612,0.520492256,-0.087964408,0.436390996,0.501004577,-0.083377726,0.48120147,0.494597435,-0.073379561,0.520872712,0.474385023,-0.069819309
E,0.621879458,0.554424286,-2.56E-07,0.536475837,0.410955638,-0.081028052,0.485831559,0.309575796,-0.088893153,0.53134793,0.294306904,-0.090264775,0.577248216,0.288883239,-0.076045938,0.617349923,0.275523514,-0.06916225
E,0.822552562,0.504870296,-2.59E-07,0.747471035,0.348231435,-0.05570516,0.683849156,0.254868776,-0.07860934,0.733621895,0.243436903,-0.081897788,0.773732483,0.24293837,-0.071715869,0.806808352,0.23167932,-0.072602153
E,0.841209292,0.714243472,-2.60E-07,0.785584927,0.564292252,-0.061078604,0.753822923,0.470742762,-0.071743704,0.799805641,0.480168402,-0.07063859,0.835630417,0.483667344,-0.058864858,0.867240131,0.473093301,-0.059499405
F,0.7705971,0.761253119,2.66E-07,0.650722444,0.624573708,-0.114663519,0.653597355,0.611379087,-0.125174135,0.667541087,0.31603682,-0.076526076,0.734459758,0.333557248,-0.072131619,0.832584202,0.393668592,-0.057275865
F,0.675024927,0.784611285,2.85E-07,0.525453568,0.655229211,-0.100486785,0.544309139,0.641225576,-0.116943061,0.564265966,0.335900784,-0.080814108,0.63248533,0.346409589,-0.084527098,0.733725727,0.40211612,-0.071980536
F,0.540696025,0.84061414,2.83E-07,0.363251448,0.703889132,-0.084546663,0.393636703,0.698867261,-0.115879819,0.424045056,0.36084199,-0.085013181,0.499575883,0.369460136,-0.094063103,0.600149691,0.439417541,-0.080577813
F,0.513185382,0.753401875,2.48E-07,0.320861399,0.590289831,-0.088884689,0.357077479,0.592799067,-0.109202757,0.389204085,0.265688807,-0.073662765,0.459486246,0.271027476,-0.079233438,0.571431637,0.335849881,-0.074335374
F,0.629844069,0.720102787,2.42E-07,0.486403435,0.576096058,-0.09736836,0.498839796,0.566101015,-0.10611859,0.495722175,0.277888298,-0.063341513,0.558137596,0.277922213,-0.068848088,0.665931523,0.331784129,-0.057245966
F,0.718752921,0.839649558,2.13E-07,0.616618395,0.702032387,-0.109320253,0.615628839,0.685088396,-0.126827285,0.623261631,0.381590009,-0.090714239,0.68453902,0.391524941,-0.094646268,0.785226107,0.45778352,-0.07525079
F,0.779931724,0.886827171,2.28E-07,0.730196118,0.748129845,-0.103625029,0.714647889,0.741657317,-0.120489471,0.735903919,0.439489216,-0.089883305,0.789232671,0.45926705,-0.09200307,0.873648286,0.532048047,-0.073342085
F,0.794557512,0.696661532,2.50E-07,0.724303246,0.51923728,-0.102823094,0.710105419,0.508103013,-0.113835447,0.725665808,0.243302673,-0.074391544,0.784030795,0.260146677,-0.077282265,0.870486736,0.328195512,-0.064399451
F,0.629366934,0.700265229,2.72E-07,0.50857687,0.530290663,-0.095214806,0.511012673,0.523708522,-0.109626099,0.519744039,0.245266229,-0.06712044,0.587764978,0.258470148,-0.071340345,0.69076544,0.318831861,-0.058991332
F,0.79098922,0.658775985,3.03E-07,0.680437267,0.424880683,-0.122903034,0.6731264,0.438057274,-0.131225705,0.680134475,0.127633274,-0.078671068,0.752270579,0.14901197,-0.077847458,0.862865746,0.22215198,-0.061336234
C,0.871060967,0.911572337,-1.39E-07,0.531414628,0.633278012,-0.077039599,0.59729445,0.388485014,-0.085911691,0.623984575,0.390601993,-0.116633683,0.667072475,0.387511194,-0.110048212,0.709307015,0.407268286,-0.120968141
C,0.884974837,0.682518005,-1.12E-08,0.544328153,0.43778199,-0.041516174,0.60556531,0.187972903,-0.012425211,0.633309543,0.165885895,-0.057634193,0.674654484,0.154292345,-0.068358563,0.729010344,0.154923528,-0.087583713
C,0.764085174,0.766823232,-1.10E-08,0.478469729,0.560849786,-0.038760647,0.533785224,0.351990461,-0.008933194,0.546430588,0.34370172,-0.048413493,0.569601655,0.340980589,-0.057668835,0.605829239,0.348520875,-0.077091254
C,0.710571527,0.91585803,-2.55E-07,0.344147205,0.642347097,-0.028498875,0.395129621,0.392367125,-0.017600615,0.402056098,0.388660908,-0.063962013,0.441356629,0.380998075,-0.07826186,0.474234819,0.390932411,-0.102532208
C,0.884660006,0.858740449,4.62E-08,0.583379745,0.619031429,-0.102182522,0.660230994,0.386369884,-0.098762609,0.684194922,0.387001455,-0.119171306,0.730620027,0.386697888,-0.108429007,0.777273238,0.403369844,-0.114442527
E,0.827071011,0.881928921,-6.27E-07,0.723951697,0.644149721,-0.159878582,0.644158542,0.494320422,-0.169513777,0.725351512,0.480729073,-0.152541757,0.793373466,0.478129894,-0.127296001,0.854042292,0.442651629,-0.129876554
E,0.809636652,0.730939686,-5.22E-07,0.706456542,0.495014757,-0.141987875,0.628859639,0.361537248,-0.159289077,0.699817896,0.346032053,-0.147419065,0.762357712,0.343960673,-0.127712041,0.82163161,0.309704691,-0.127992153
E,0.759865522,0.80728817,-5.18E-07,0.681939125,0.602636099,-0.116147384,0.613309324,0.484057307,-0.131106302,0.677360237,0.476460099,-0.116086371,0.730489016,0.470012844,-0.09751901,0.78002286,0.42972666,-0.096789062
E,0.761942327,0.967864394,-5.81E-07,0.687336981,0.785979629,-0.093470052,0.642146111,0.682023346,-0.095009319,0.700844824,0.68190217,-0.077988587,0.745440722,0.682753682,-0.06289997,0.785021722,0.657164156,-0.071750358
E,0.65791595,0.930858672,-3.91E-07,0.562113464,0.743297458,-0.096879736,0.502832651,0.615739882,-0.093159527,0.558538198,0.616945982,-0.080300905,0.607126296,0.618483365,-0.067683138,0.654257715,0.598389268,-0.067888282
E,0.60228163,0.848039567,-3.41E-07,0.503471434,0.656474888,-0.099182904,0.429557621,0.520525753,-0.103712283,0.488663524,0.522636473,-0.097765915,0.543434501,0.525814533,-0.077472851,0.591401398,0.499065936,-0.078806095
E,0.743068516,0.819667459,-3.50E-07,0.651492596,0.618751705,-0.089739382,0.585628152,0.490132332,-0.083103448,0.643015623,0.485005796,-0.073016949,0.689885855,0.479476929,-0.056035459,0.730952799,0.459647298,-0.056662772
G,0.926470339,0.65837115,-1.84E-07,0.678068161,0.524114072,-0.016905854,0.541931748,0.496199638,-0.071444958,0.745737433,0.563766837,-0.041442804,0.748598874,0.635881841,-0.022400584,0.758679867,0.689472079,-0.011476764
G,0.889501631,0.429152966,-2.92E-07,0.628102064,0.315744042,-0.023443516,0.485690653,0.248574123,-0.088113174,0.698915541,0.350949556,-0.065117553,0.705211043,0.418503284,-0.040981214,0.712724805,0.471646011,-0.043291397
G,0.839218378,0.735992849,-3.97E-08,0.657384336,0.606476188,-0.020119099,0.544759333,0.608365357,-0.054856151,0.695322692,0.654157281,-0.034148924,0.694682419,0.711175442,-0.017261913,0.701091349,0.755578578,-0.012482923
G,0.724768996,0.887562335,4.12E-08,0.538943589,0.740412772,-0.008698177,0.408284962,0.747833908,-0.042033546,0.571117461,0.788186491,-0.013164915,0.577112556,0.849980652,0.001555314,0.589656234,0.896912336,0.008629125
G,0.737299144,0.691296279,-5.28E-08,0.528854251,0.572619796,-0.022125931,0.375412494,0.515596688,-0.061304674,0.574427009,0.619317174,-0.037415948,0.577896535,0.68148458,-0.018294616,0.58744067,0.731598794,-0.009864446
G,0.928688645,0.664995551,-1.30E-07,0.70087117,0.552656531,-0.029603375,0.611392498,0.4805848,-0.077754855,0.767867863,0.586974502,-0.053693064,0.767184794,0.642194867,-0.032760736,0.772823274,0.691367209,-0.028765272
G,1.011150718,0.392688543,-1.89E-07,0.762884557,0.269854069,-0.040115166,0.649266481,0.156662807,-0.094553225,0.822074711,0.325225502,-0.07460925,0.827768505,0.382027745,-0.056552645,0.836619437,0.436492532,-0.061693534
G,0.79562819,0.351714075,-1.67E-07,0.6205405,0.277467698,-0.026341626,0.481289685,0.156456143,-0.065490812,0.63418442,0.305810839,-0.053642835,0.640581727,0.346572906,-0.04116286,0.650516033,0.388772994,-0.043982025
G,0.711319625,0.911028862,4.87E-08,0.544038236,0.828466296,-0.026997713,0.445167154,0.84113282,-0.05718052,0.577279985,0.861960649,-0.033819363,0.588485062,0.913623035,-0.016442798,0.598583877,0.953388393,-0.015268422
G,0.667768776,0.841319621,8.78E-09,0.46706605,0.721445262,-0.017439246,0.31870985,0.668486893,-0.051829547,0.50643909,0.757046402,-0.02797763,0.513173223,0.820562899,-0.009551181,0.521670341,0.870771587,-0.004558055
H,0.89114213,0.559292912,4.70E-07,0.685126483,0.413983762,-0.019440047,0.524597526,0.398282468,-0.051055249,0.493819475,0.442676723,-0.055442255,0.713134706,0.545492828,-0.032184891,0.729703188,0.593958437,-0.015476285
H,0.905869305,0.388196021,3.58E-07,0.676788986,0.409469306,-0.030305842,0.529378891,0.265916169,-0.07104712,0.504058242,0.311406553,-0.078262441,0.731496453,0.400264412,-0.052717861,0.746295273,0.439648688,-0.042593837
H,0.892395616,0.668139219,4.90E-07,0.665503919,0.677107275,-0.01557037,0.5273031,0.57681644,-0.037813503,0.50710547,0.631953359,-0.041582245,0.717422783,0.688163042,-0.021935796,0.736756206,0.729095578,-0.004180916
H,0.891213715,0.81549865,5.61E-07,0.679868281,0.816722751,-0.017992631,0.540682614,0.750471234,-0.052638169,0.518844247,0.800966501,-0.049499094,0.715674877,0.833658814,-0.025983052,0.734443665,0.87369591,-0.009967853
H,0.813818634,0.784835696,6.51E-07,0.606782913,0.778670132,-0.01097381,0.445112556,0.67778194,-0.04036402,0.424553633,0.729099929,-0.039730173,0.636441588,0.799102008,-0.019250702,0.658477187,0.843844056,-0.000427195
