label,pt1_x,pt1_y,pt1_z,pt2_x,pt2_y,pt2_z,pt3_x,pt3_y,pt3_z,pt4_x,pt4_y,pt4_z,pt5_x,pt5_y,pt5_z,pt6_x,pt6_y,pt6_z,pt7_x,pt7_y,pt7_z,pt8_x,pt8_y,pt8_z,pt9_x,pt9_y,pt9_z,pt10_x,pt10_y,pt10_z,pt11_x,pt11_y,pt11_z,pt12_x,pt12_y,pt12_z,pt13_x,pt13_y,pt13_z,pt14_x,pt14_y,pt14_z,pt15_x,pt15_y,pt15_z,pt16_x,pt16_y,pt16_z,pt17_x,pt17_y,pt17_z,pt18_x,pt18_y,pt18_z,pt19_x,pt19_y,pt19_z,pt20_x,pt20_y,pt20_z
M,-0.051217079162597656,-0.050091564655303955,-0.017557419021727583,-0.05444622039794922,-0.14320465922355652,-0.030453001265527746,0.005057573318481445,-0.1895860731601715,-0.04273423843562796,0.05065023899078369,-0.22516876459121704,-0.05464505322754576,-0.07097816467285156,-0.19269829988479614,-0.014901825343372366,-0.08189129829406738,-0.253431111574173,-0.0440444528359194,-0.07187670469284058,-0.20263391733169556,-0.06599745445430472,-0.06146508455276489,-0.1472918689250946,-0.07710119627893164,-0.02718210220336914,-0.20214489102363586,-0.020258599077465078,-0.04246097803115845,-0.2654920816421509,-0.050031456281544706,-0.036338210105895996,-0.20109087228775024,-0.06743700348317816,-0.02977544069290161,-0.13732627034187317,-0.07308475964248373,0.018656432628631592,-0.19571903347969055,-0.028769373078944227,0.006381392478942871,-0.27688685059547424,-0.058827596833111784,0.004671275615692139,-0.2126462757587433,-0.06526723050058081,0.0026928186416625977,-0.15179535746574402,-0.06410521559894278,0.06138676404953003,-0.1787811517715454,-0.037939935107829115,0.035427093505859375,-0.191859632730484,-0.06616711907565787,0.028000354766845703,-0.12348100543022156,-0.06801897578418448,0.027418851852416992,-0.0718107521533966,-0.06416713737428381
M,-0.05456578731536865,-0.05740085244178772,-0.020672454572093102,-0.054785311222076416,-0.16531667113304138,-0.03323579307533464,0.014784157276153564,-0.21497628092765808,-0.044789639374982926,0.06439071893692017,-0.2556111216545105,-0.055948753914606186,-0.07279187440872192,-0.20961999893188477,-0.01248035494126043,-0.07927459478378296,-0.2787477970123291,-0.04099161650873384,-0.06677460670471191,-0.22847843170166016,-0.06353310596085748,-0.057008564472198486,-0.16959664225578308,-0.07548647474385461,-0.024977385997772217,-0.2206789255142212,-0.016310450694334122,-0.03903454542160034,-0.29539865255355835,-0.04604496162272653,-0.030824661254882812,-0.2299468219280243,-0.06622342865802011,-0.02571272850036621,-0.16197469830513,-0.07408904384709558,0.024257123470306396,-0.21410712599754333,-0.02376734938360414,0.016253173351287842,-0.30771540105342865,-0.055118897071849915,0.015726029872894287,-0.2388419210910797,-0.06441972505189142,0.011649608612060547,-0.17344683408737183,-0.06544442575312814,0.0699126124382019,-0.19537842273712158,-0.03206764634586534,0.047677814960479736,-0.21443015336990356,-0.06337577950097284,0.04146653413772583,-0.14012646675109863,-0.06789087604619226,0.04049980640411377,-0.08487969636917114,-0.06607504289485178
M,-0.06642958521842957,-0.0479046106338501,-0.020443575577871798,-0.08064961433410645,-0.1523805558681488,-0.03658598673536062,-0.018335163593292236,-0.21826758980751038,-0.05182764691306829,0.025958776473999023,-0.2751156836748123,-0.06799834978772878,-0.09779536724090576,-0.2138950526714325,-0.018955843644278048,-0.12326717376708984,-0.2688608765602112,-0.05286980059935331,-0.11397778987884521,-0.21894237399101257,-0.07964507502509832,-0.0971241295337677,-0.15914621949195862,-0.09330499184324026,-0.050849080085754395,-0.2304868996143341,-0.024300463618772028,-0.08540794253349304,-0.2967635244131088,-0.05502473202540159,-0.07776951789855957,-0.23140841722488403,-0.07477751386358023,-0.062461256980895996,-0.16033464670181274,-0.08280143898917913,0.0007966160774230957,-0.22886168956756592,-0.033254936458604334,-0.029555857181549072,-0.31659120321273804,-0.06616183382465124,-0.02954500913619995,-0.24730387330055237,-0.07603735488845587,-0.023474156856536865,-0.1767691969871521,-0.07769433421088934,0.05011177062988281,-0.21242478489875793,-0.0428435878176856,0.008499741554260254,-0.22306722402572632,-0.07543266576720953,0.005101561546325684,-0.14327675104141235,-0.07960189891053915,0.012397944927215576,-0.0816822350025177,-0.07723017049028158
M,-0.05964100360870361,-0.04375976324081421,-0.022998827414539846,-0.070993572473526,-0.1445937156677246,-0.03693464109483102,-0.011255264282226562,-0.195767343044281,-0.049371247084764036,0.03174102306365967,-0.23720788955688477,-0.06116620534839967,-0.07689565420150757,-0.2031116783618927,-0.020347409786609205,-0.10289683938026428,-0.2502077519893646,-0.05429451996269563,-0.10331395268440247,-0.1929410696029663,-0.07834479296388963,-0.09352034330368042,-0.13734960556030273,-0.09032946908655504,-0.03279465436935425,-0.2204146683216095,-0.023029730560210737,-0.06867122650146484,-0.2689129114151001,-0.057537701817182096,-0.06807604432106018,-0.19840475916862488,-0.07362473094644884,-0.05729794502258301,-0.1341381072998047,-0.07733926260652879,0.012110590934753418,-0.2200343906879425,-0.03005809047999719,-0.01739978790283203,-0.28058427572250366,-0.05952249923529962,-0.0218278169631958,-0.2098124623298645,-0.06366211259546617,-0.02143421769142151,-0.14907106757164001,-0.06199698606314996,0.053398072719573975,-0.20593243837356567,-0.03926641577663759,0.021488487720489502,-0.19034135341644287,-0.06516099804821351,0.015298843383789062,-0.11653923988342285,-0.06809496218147615,0.018345236778259277,-0.06934219598770142,-0.06605780953350404
M,-0.05319511890411377,-0.04636114835739136,-0.022268743925224044,-0.05942919850349426,-0.13906514644622803,-0.03589245278431008,-0.0012575387954711914,-0.1770511269569397,-0.04797619927717278,0.04088997840881348,-0.2129758596420288,-0.05924154419494698,-0.06108909845352173,-0.20838922262191772,-0.017607321702371337,-0.08693602681159973,-0.24049842357635498,-0.052154753096829154,-0.08906030654907227,-0.17691993713378906,-0.07670777265025208,-0.08164331316947937,-0.12366712093353271,-0.08901546869469712,-0.01799088716506958,-0.22250139713287354,-0.0198860557009084,-0.052629172801971436,-0.2583850622177124,-0.05436327282382081,-0.054665982723236084,-0.17994332313537598,-0.06873192612124512,-0.048648685216903687,-0.11901390552520752,-0.07108697269154618,0.0243452787399292,-0.21822500228881836,-0.026771612205038764,-0.0056345462799072266,-0.2651521563529968,-0.05698501292658875,-0.011923223733901978,-0.18861663341522217,-0.05963011805010865,-0.013319969177246094,-0.1323583722114563,-0.05666660118890832,0.061482369899749756,-0.2001972794532776,-0.03581092480612824,0.026666641235351562,-0.17279154062271118,-0.06240994829727242,0.019594907760620117,-0.09773004055023193,-0.06578489366961549,0.02294868230819702,-0.056035518646240234,-0.06375298623038361
M,-0.03536313772201538,-0.04715883731842041,-0.018878054234193087,-0.03050053119659424,-0.13239043951034546,-0.02888120374362302,0.023777544498443604,-0.16616636514663696,-0.03830938263516259,0.06165081262588501,-0.19560563564300537,-0.046684341865585566,-0.049821317195892334,-0.17889589071273804,-0.008168052311049223,-0.055853188037872314,-0.22685736417770386,-0.03401595203857255,-0.04503136873245239,-0.1749163269996643,-0.05443917064647508,-0.03852951526641846,-0.12520289421081543,-0.06472999079804254,-0.01054394245147705,-0.1842377781867981,-0.011024474526749373,-0.02102428674697876,-0.23468613624572754,-0.038279610115097285,-0.015787124633789062,-0.17063337564468384,-0.05340680329780412,-0.014314532279968262,-0.116618812084198,-0.05717833935003114,0.02940690517425537,-0.1735408902168274,-0.017616644862101793,0.028257310390472412,-0.23908066749572754,-0.044780338543461085,0.025182127952575684,-0.17177236080169678,-0.04659345968346429,0.016876518726348877,-0.1203048825263977,-0.041902890789316416,0.06609642505645752,-0.15326863527297974,-0.025632756191299677,0.0590398907661438,-0.17393624782562256,-0.04972525908331704,0.04858088493347168,-0.11017489433288574,-0.04768506287317109,0.03939104080200195,-0.06753742694854736,-0.04109561293105912
M,-0.030915558338165283,-0.04543638229370117,-0.02059110208642778,-0.021959125995635986,-0.12347966432571411,-0.03319041571808157,0.032178521156311035,-0.14569240808486938,-0.04493253073883352,0.07328546047210693,-0.16375356912612915,-0.05558093405556974,-0.03469175100326538,-0.17449581623077393,-0.014423585042777631,-0.040826380252838135,-0.2139662504196167,-0.043495965667489145,-0.034928858280181885,-0.15927177667617798,-0.0647430843789607,-0.03070586919784546,-0.11105751991271973,-0.07544949419093427,0.0032895803451538086,-0.17563378810882568,-0.01694052807283697,-0.007995426654815674,-0.2164803147315979,-0.04806218064618406,-0.007816672325134277,-0.150282084941864,-0.06256405032468138,-0.009395420551300049,-0.0986185073852539,-0.06560899830651579,0.04067307710647583,-0.16130459308624268,-0.023326411389234636,0.03723418712615967,-0.21498256921768188,-0.054115721501830194,0.030188381671905518,-0.14481890201568604,-0.05513522914839086,0.0200844407081604,-0.0959855318069458,-0.04932302004885969,0.07415509223937988,-0.13874948024749756,-0.03120296589327154,0.06401073932647705,-0.1455969214439392,-0.057277267344716165,0.050554871559143066,-0.08207225799560547,-0.056256209977391336,0.04159146547317505,-0.044449031352996826,-0.05019416800928411
M,-0.05209672451019287,-0.06095153093338013,-0.023034692157722247,-0.049356043338775635,-0.1665107011795044,-0.037143674094892276,0.020488321781158447,-0.2057725191116333,-0.04952684824607445,0.06871038675308228,-0.24143892526626587,-0.06187441234729363,-0.06614381074905396,-0.22493577003479004,-0.017743096102691425,-0.0842592716217041,-0.2749859690666199,-0.049917053778386844,-0.07796096801757812,-0.21510213613510132,-0.07455826957962586,-0.06922918558120728,-0.15449833869934082,-0.0870970006778009,-0.017056524753570557,-0.23637926578521729,-0.02062897977671696,-0.042223572731018066,-0.2913915514945984,-0.05373158340594841,-0.03982555866241455,-0.21358194947242737,-0.07271977176210953,-0.033448219299316406,-0.14387887716293335,-0.0785162340595491,0.032166898250579834,-0.2267673909664154,-0.02725754526696278,0.015373408794403076,-0.2952657639980316,-0.058844652374006046,0.008204936981201172,-0.2218465805053711,-0.066852975983835,0.0033927559852600098,-0.16044694185256958,-0.06708153744480683,0.07419407367706299,-0.20533907413482666,-0.03521606733343674,0.04490959644317627,-0.19384172558784485,-0.06349255551836563,0.03477776050567627,-0.11680340766906738,-0.06701618840239121,0.03406500816345215,-0.06792765855789185,-0.06489067186853958
M,-0.0790051519870758,-0.04754042625427246,-0.022321969891152094,-0.10839769244194031,-0.162244975566864,-0.039459935078582475,-0.05150380730628967,-0.24073520302772522,-0.056369068721494386,-0.009898155927658081,-0.30752313137054443,-0.0741772415732953,-0.1141679584980011,-0.24287807941436768,-0.018236000711283396,-0.1574949324131012,-0.283408522605896,-0.06065307805891962,-0.16243630647659302,-0.21839138865470886,-0.09272842730041475,-0.1493939459323883,-0.1516302525997162,-0.10903254772182436,-0.06596091389656067,-0.27141818404197693,-0.024257340157589624,-0.1275346875190735,-0.3196653127670288,-0.0655637743568036,-0.12734660506248474,-0.2341684103012085,-0.08685091013666124,-0.10835319757461548,-0.15240409970283508,-0.09261506671663255,-0.013100385665893555,-0.28048649430274963,-0.03513095403667421,-0.06942299008369446,-0.3435473144054413,-0.07267280543800325,-0.07492229342460632,-0.2567271888256073,-0.08087459082361192,-0.06822064518928528,-0.17949652671813965,-0.08064130569454164,0.03667333722114563,-0.26924920082092285,-0.047685223320684145,-0.013251513242721558,-0.2346179485321045,-0.08030224467273683,-0.009119778871536255,-0.14392715692520142,-0.08524910981412859,0.008830636739730835,-0.08616775274276733,-0.08357099319454164
M,-0.06699377298355103,-0.06501752138137817,-0.021780559901600327,-0.07601135969161987,-0.18950730562210083,-0.0342440270972304,-0.006156802177429199,-0.2582153081893921,-0.046759877462392296,0.03747415542602539,-0.3140164315700531,-0.05961011733532473,-0.0970413088798523,-0.23605561256408691,-0.008612496886854615,-0.10869777202606201,-0.3222791403532028,-0.043114047605996575,-0.09155184030532837,-0.27441146969795227,-0.07184708501816317,-0.07765793800354004,-0.20814503729343414,-0.08671735610485598,-0.04218834638595581,-0.250057190656662,-0.015142049748902764,-0.06112951040267944,-0.34406235814094543,-0.049043178666835274,-0.04674792289733887,-0.27783283591270447,-0.07458600040197894,-0.03586292266845703,-0.1999354064464569,-0.08511748548269793,0.01590496301651001,-0.24401414394378662,-0.026047196347718682,0.0007960200309753418,-0.3595849722623825,-0.06458317126751467,0.003738880157470703,-0.28543487191200256,-0.07692389573574587,0.00379258394241333,-0.20999792218208313,-0.07844690616846606,0.07156628370285034,-0.22204415500164032,-0.03757243614316508,0.045961081981658936,-0.2614469975233078,-0.07733028765440508,0.044359445571899414,-0.17614218592643738,-0.08166486408234164,0.0487675666809082,-0.10585108399391174,-0.07778905715466067
A,-0.056083738803863525,-0.02735990285873413,-0.016067293572888275,-0.09966665506362915,-0.08605897426605225,-0.023019923928842445,-0.11975401639938354,-0.14375847578048706,-0.03175252220378866,-0.1294075846672058,-0.1948254108428955,-0.03732335856901159,-0.07895350456237793,-0.1418350636959076,0.001706371914877991,-0.08927428722381592,-0.18713441491127014,-0.02462617411063661,-0.0775594711303711,-0.14214423298835754,-0.04035954094277372,-0.06810247898101807,-0.09740588068962097,-0.04579012012825956,-0.043433189392089844,-0.14881223440170288,-0.0004939444900458057,-0.05604267120361328,-0.18636676669120789,-0.03023232809053411,-0.04616135358810425,-0.12819766998291016,-0.040951035085782905,-0.03819310665130615,-0.0794021487236023,-0.03995314902411451,-0.008967876434326172,-0.14972832798957825,-0.007417232364133497,-0.02004694938659668,-0.17564627528190613,-0.03774648449169149,-0.014624238014221191,-0.11537420749664307,-0.035665295187101265,-0.010315656661987305,-0.06841951608657837,-0.024335091102585693,0.025506019592285156,-0.14566969871520996,-0.015505050409302612,0.014327168464660645,-0.17506885528564453,-0.03487498975144376,0.01208484172821045,-0.13401132822036743,-0.030008767831787964,0.01135873794555664,-0.09800392389297485,-0.019943769190177818
A,-0.05596524477005005,-0.02938133478164673,-0.01796082410439226,-0.09796065092086792,-0.09525144100189209,-0.023185225235664575,-0.12079215049743652,-0.15697452425956726,-0.030157903241359918,-0.14142996072769165,-0.20305517315864563,-0.03407286110743257,-0.07864892482757568,-0.14304915070533752,0.007795351525402339,-0.08400797843933105,-0.19717839360237122,-0.01780472140237066,-0.06955909729003906,-0.15520954132080078,-0.03480809930189821,-0.060062289237976074,-0.11183962225914001,-0.04125852141007158,-0.0423203706741333,-0.1468724012374878,0.006664416255063088,-0.045846402645111084,-0.19305920600891113,-0.02263562943264219,-0.0353468656539917,-0.13530218601226807,-0.03492169457896921,-0.03032386302947998,-0.08761528134346008,-0.03517004105671617,-0.008314073085784912,-0.1441325843334198,0.00021041091238771514,-0.009611308574676514,-0.18197831511497498,-0.0296803210250971,-0.005907118320465088,-0.12103509902954102,-0.02815728079005453,-0.006377100944519043,-0.07500755786895752,-0.017488995598995416,0.025349020957946777,-0.1373910903930664,-0.007707511106872289,0.024110794067382812,-0.17416128516197205,-0.025794364543997972,0.02204751968383789,-0.13666406273841858,-0.020685834842169015,0.018481194972991943,-0.1047544777393341,-0.01098307597860071
